route_segment,route_id,from_stop,to_stop,time,order
rs001,r01,s001,s002,1,1
rs002,r01,s002,s003,3,2
rs003,r01,s003,s004,1,3
rs004,r01,s004,s005,1,4
rs005,r01,s005,s006,2,5
rs006,r01,s006,s007,1,6
rs007,r01,s007,s008,1,7
rs008,r01,s008,s009,2,8
rs009,r01,s009,s010,3,9
rs010,r01,s010,s011,5,10
rs011,r01,s011,s012,4,11
rs012,r01,s012,s013,4,12
rs013,r01,s013,s014,2,13
rs014,r01,s014,s015,2,14
rs015,r01,s015,s016,2,15
rs016,r01,s016,s017,1,16
rs017,r01,s017,s018,2,17
rs018,r01,s018,s019,2,18
rs019,r02,s020,s021,1,1
rs020,r02,s021,s022,1,2
rs021,r02,s022,s023,2,3
rs022,r02,s023,s024,2,4
rs023,r02,s024,s025,2,5
rs024,r02,s025,s026,2,6
rs025,r02,s026,s027,1,7
rs026,r02,s027,s028,2,8
rs027,r02,s028,s029,1,9
rs028,r02,s029,s030,1,10
rs029,r02,s030,s031,2,11
rs030,r02,s031,s032,2,12
rs031,r02,s032,s033,2,13
rs032,r02,s033,s015,2,14
rs033,r02,s015,s014,2,15
rs034,r02,s014,s013,2,16
rs035,r02,s013,s034,2,17
rs036,r02,s034,s035,2,18
rs037,r02,s035,s036,2,19
rs038,r02,s036,s037,3,20
rs039,r02,s037,s038,2,21
rs040,r02,s038,s039,2,22
rs041,r02,s039,s040,2,23
rs042,r02,s040,s041,2,24
rs043,r02,s041,s042,2,25
rs044,r02,s042,s020,2,26
rs045,r03,s020,s021,2,1
rs046,r03,s021,s022,1,2
rs047,r03,s022,s023,2,3
rs048,r03,s023,s024,2,4
rs049,r03,s024,s025,2,5
rs050,r03,s025,s026,2,6
rs051,r03,s026,s027,1,7
rs052,r03,s027,s028,2,8
rs053,r03,s028,s029,1,9
rs054,r03,s029,s030,1,10
rs055,r03,s030,s031,3,11
rs056,r03,s031,s032,2,12
rs057,r03,s032,s033,2,13
rs058,r03,s033,s015,2,14
rs059,r03,s015,s016,2,15
rs060,r03,s016,s017,1,16
rs061,r03,s017,s018,2,17
rs062,r03,s018,s019,2,18
rs063,r04,s001,s002,1,1
rs064,r04,s002,s003,3,2
rs065,r04,s003,s004,1,3
rs066,r04,s004,s005,1,4
rs067,r04,s005,s006,2,5
rs068,r04,s006,s007,1,6
rs069,r04,s007,s008,1,7
rs070,r04,s008,s009,2,8
rs071,r04,s009,s010,3,9
rs072,r04,s010,s011,5,10
rs073,r04,s011,s012,4,11
rs074,r04,s012,s034,2,12
rs075,r04,s034,s035,2,13
rs076,r04,s035,s036,2,14
rs077,r04,s036,s037,3,15
rs078,r04,s037,s038,2,16
rs079,r04,s038,s039,2,17
rs080,r04,s039,s040,2,18
rs081,r04,s040,s041,2,19
rs082,r04,s041,s042,2,20
rs083,r04,s042,s020,2,21
rs084,r05,s019,s018,2,1
rs085,r05,s018,s017,3,2
rs086,r05,s017,s016,2,3
rs087,r05,s016,s015,3,4
rs088,r05,s015,s014,2,5
rs089,r05,s014,s013,2,6
rs090,r05,s013,s034,2,7
rs091,r05,s034,s035,2,8
rs092,r05,s035,s036,2,9
rs093,r05,s036,s037,3,10
rs094,r05,s037,s038,2,11
rs095,r05,s038,s039,2,12
rs096,r05,s039,s040,2,13
rs097,r05,s040,s041,2,14
rs098,r05,s041,s042,2,15
rs099,r05,s042,s020,2,16
